listing_id,price,nbhood_full,State
3817304,50,Queens, Sunnyside
3817666,150,Manhattan, Hell's Kitchen
3818298,120,Manhattan, Harlem
3819407,325,Manhattan, Upper West Side
3819946,33,Brooklyn, Bedford-Stuyvesant
3826226,165,Brooklyn, Bedford-Stuyvesant
3826908,79,Queens, Long Island City
3827311,125,Manhattan, Harlem
3829261,40,Brooklyn, Canarsie
3829609,76,Brooklyn, Crown Heights
3832444,45,Brooklyn, Bushwick
3832863,265,Manhattan, West Village
3835633,45,Brooklyn, Canarsie
3835681,50,Queens, Ditmars Steinway
3835740,72,Brooklyn, Bedford-Stuyvesant
3835757,50,Queens, Ditmars Steinway
3835766,57,Brooklyn, Bedford-Stuyvesant
3836199,120,Queens, East Elmhurst
3838375,249,Manhattan, Upper West Side
3839364,95,Bronx, Fieldston
3840000,90,Brooklyn, Williamsburg
3840286,246,Brooklyn, Williamsburg
3840324,120,Brooklyn, Williamsburg
3840541,150,Brooklyn, Downtown Brooklyn
3848431,120,Manhattan, Harlem
3849226,149,Manhattan, SoHo
3850493,139,Brooklyn, Flatlands
3851623,200,Manhattan, Greenwich Village
3851911,115,Brooklyn, Bedford-Stuyvesant
3852261,149,Queens, Arverne
3852988,135,Brooklyn, Sunset Park
3857863,105,Manhattan, Washington Heights
3866538,98,Manhattan, Upper West Side
3866843,87,Manhattan, Upper West Side
3866888,150,Manhattan, Midtown
3867293,50,Brooklyn, Bushwick
3868100,225,Manhattan, Lower East Side
3868344,151,Brooklyn, Bedford-Stuyvesant
3869398,75,Brooklyn, Greenpoint
3869779,150,Brooklyn, Bushwick
3870158,145,Manhattan, East Village
3870294,250,Manhattan, East Village
3874702,145,Brooklyn, Clinton Hill
3882466,168,Manhattan, Upper West Side
3883020,104,Brooklyn, Crown Heights
3884893,95,Manhattan, East Harlem
3885177,95,Queens, Flushing
3888469,100,Bronx, Longwood
3888752,195,Manhattan, Upper West Side
3890417,45,Brooklyn, Bushwick
3892700,70,Staten Island, Clifton
3895930,116,Brooklyn, Greenpoint
3896701,129,Manhattan, East Village
3897387,125,Brooklyn, Park Slope
3902156,165,Brooklyn, Fort Greene
3904135,90,Brooklyn, Williamsburg
3905849,120,Manhattan, Gramercy
3907413,40,Brooklyn, Bedford-Stuyvesant
3907603,75,Brooklyn, Williamsburg
3908257,75,Brooklyn, Bedford-Stuyvesant
3911632,65,Brooklyn, Kensington
3912794,75,Brooklyn, South Slope
3914773,150,Manhattan, Upper West Side
3916312,145,Manhattan, Harlem
3920562,90,Manhattan, East Harlem
3922417,95,Manhattan, Chelsea
3924092,225,Manhattan, Upper West Side
3930842,75,Brooklyn, Williamsburg
3943879,175,Brooklyn, Williamsburg
3944233,130,Manhattan, Theater District
3944625,129,Brooklyn, Brooklyn Heights
3945796,95,Manhattan, Kips Bay
3946018,189,Manhattan, Theater District
3950114,65,Queens, Astoria
3952093,160,Manhattan, Upper West Side
3953314,155,Bronx, Clason Point
3953585,39,Manhattan, Harlem
3953942,115,Brooklyn, Crown Heights
3958460,100,Manhattan, Upper West Side
3962389,125,Brooklyn, Flatlands
3963635,210,Brooklyn, Bedford-Stuyvesant
3967160,180,Staten Island, Stapleton
3967492,129,Manhattan, East Village
3967945,90,Manhattan, East Harlem
3968610,140,Manhattan, Greenwich Village
3970562,170,Manhattan, East Village
3970701,60,Brooklyn, East Flatbush
3973944,89,Brooklyn, Williamsburg
3975630,150,Queens, Woodside
3979628,88,Manhattan, Harlem
3979714,75,Manhattan, Harlem
3983469,75,Manhattan, Upper West Side
3984168,170,Manhattan, East Village
3985673,300,Manhattan, Chelsea
3987571,115,Brooklyn, Bedford-Stuyvesant
3989564,119,Brooklyn, Bedford-Stuyvesant
4000621,145,Brooklyn, Bedford-Stuyvesant
4007277,65,Queens, Astoria
4013339,95,Manhattan, Little Italy
4013668,185,Brooklyn, Park Slope
4016069,55,Manhattan, East Harlem
